CartPriceInCP,Location,Time
2,Aglarond,41
2,Alaron,39
6,Amn,58
0,Arn Rock,41
4,Baldur's Gate,49
0,Blingdenstone,92
4,Calimshan,50
3,Chessentea,66
3,Chondath,50
0,Chult,54
0,Cormanthar,56
3,Cormyr,47
1,Damara,25
1,Dambrath,29
1,Durpar,74
3,Dwarfholds,25
0,Estagund,0
0,Gracklstugh,45
0,Great Dale,58
0,Gundarlund,33
3,Halruaa,33
0,Icewind Dale,62
3,Impiltur,43
1,Kara-Tur,23
2,Korinn Archipelego,62
0,Lantan,35
2,Lapaliiya & Thindol,60
1,Luiren,60
1,Luskan,62
0,Mantol Dereith,62
1,Maztica,41
0,Menzoberranzan,37
0,Mereu,50
0,Mintarn,100
0,Moray,47
0,Mulhorand,54
0,Murghom,21
0,Narfell,33
1,Neverwinter,37
1,Norland,50
0,Purple Rock Isles,50
0,Ruathym,74
3,Sembia,52
0,Shar,49
4,Silverymoon,52
1,Snowdown,52
3,Tethyr,58
0,Tharsult,58
3,Thay,58
1,Thesk,76
3,Turmish,52
0,Unther,56
1,Vaasa,33
0,Veldorn,43
3,Waterdeep,50
0,Whalebone Isles,29
0,Zakhara,64
